Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,District,FBI Code
JK279119,06/02/2026 04:50:00 PM,027XX W NORTH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SMALL RETAIL STORE,True,True,014,08B
JK279319,06/02/2026 04:50:00 PM,024XX W CERMAK RD,0560,ASSAULT,SIMPLE,MEDICAL / DENTAL OFFICE,False,False,010,08A
JK279110,06/02/2026 04:48:00 PM,003XX N WALLER AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,015,06
JK279139,06/02/2026 04:47:00 PM,013XX W 71ST ST,502R,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,STREET,True,False,007,26
JK279111,06/02/2026 04:46:00 PM,0000X W TERMINAL ST,0460,BATTERY,SIMPLE,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,False,False,016,08B
JK279181,06/02/2026 04:45:00 PM,010XX S RACINE AVE,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,False,012,06
JK279252,06/02/2026 04:45:00 PM,002XX S STATE ST,0545,ASSAULT,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",CTA PLATFORM,True,False,001,08A
JK279138,06/02/2026 04:45:00 PM,094XX S PERRY AVE,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,ALLEY,True,False,006,24
JK279965,06/02/2026 04:45:00 PM,097XX S MARYLAND AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,005,05
JK279105,06/02/2026 04:40:00 PM,098XX S GENOA AVE,0560,ASSAULT,SIMPLE,STREET,False,False,022,08A
JK296195,06/02/2026 04:35:00 PM,055XX S MAYFIELD AVE,0890,THEFT,FROM BUILDING,FEDERAL BUILDING,False,False,008,06
